Company,Amount,Lead investors,Valuation,Industry,Date reported
Zip,"$100,000,000 ",Y Combinator,"$1,500,000,000 ",Procurement,5/15/2023
Avenue One,"$100,000,000 ",WestCap,"$1,000,000,000 ",Property management,5/15/2023
Lessen,"$500,000,000 ",n/a,"$2,000,000,000 ",Real estate,1/11/2023
Redwood Materials,"$1,000,000,000 ","Goldman Sachs Asset Management, Capricorn's Technology Impact Fund, funds advised by T. Rowe Price Associates",n/a,Renewable energy,8/29/2023
Silicon Ranch Corp.,"$375,000,000 ",n/a,n/a,Renewable energy,1/5/2023
Consensus,"$110,000,000 ",Sumeru Equity Partners,n/a,SaaS,3/8/2023
Apollo.io,"$100,000,000 ",Bain Capital Ventures,"$1,600,000,000 ",Sales,8/29/2023
Eagle Eye Networks,"$100,000,000 ",SECOM,n/a,Security,5/17/2023
Enfabrica,"$125,000,000 ",Atreides Management,n/a,Semiconductor,9/12/2023
Sierra Space,"$290,000,000 ","MUFG, Kanematsu Corp., Tokio Marine & Nichido Fire Insurance","$5,300,000,000 ",Space,9/26/2023
Astranis,"$200,000,000 ",Andreessen Horowitz,"$1,600,000,000 ",Space,4/12/2023
Axiom Space,"$350,000,000 ","Aljazira Capital, Boryung Pharmaceutical","$1,000,000,000 ",Space tech,8/21/2023
Professional Fighters League,"$100,000,000 ",SRJ Sports Investments,n/a,Sports,8/30/2023
Newlight Technologies,"$125,000,000 ",GenZero,n/a,Sustainability,8/3/2023
Pivotal Commware,"$102,000,000 ","Gates Frontier, Tracker Capital",n/a,Telecommunications,8/17/2023
Via,"$110,000,000 ",83North,"$3,500,000,000 ",Transportation,2/13/2023
Aquaback Technologies,"$110,000,000 ",Global Emerging Markets Group,n/a,Water,6/28/2023
,,,,,
